2021年10月31日投票　 第49回衆議院選挙   （2021年11月17日 NHKまとめ）
東京ブロック,東京都,比例票

政党名,都計,(%),千代田区,(%),港区１区,(%),新宿区１区,(%),中央区,(%),港区２区,(%),文京区,(%),台東区２区,(%),品川区３区,(%),大田３区,(%),大島町,(%),利島村,(%),新島村,(%),神津島村,(%),三宅村,(%),御蔵島村,(%),八丈町,(%),青ヶ島村,(%),小笠原村,(%),大田４区,(%),目黒区５区,(%),世田谷５区,(%),世田谷６区,(%),品川区７区,(%),目黒区７区,(%),渋谷区,(%),中野区７区,(%),杉並区７区,(%),杉並区８区,(%),練馬９区,(%),新宿区１０区,(%),中野区１０区,(%),豊島区１０区,(%),練馬１０区,(%),板橋区１１区,(%),豊島区１２区,(%),北区,(%),板橋区１２区,(%),足立１２区,(%),足立１３区,(%),台東区１４区,(%),墨田区,(%),荒川区,(%),江東区,(%),江戸川１６区,(%),葛飾区,(%),江戸川１７区,(%),武蔵野市,(%),府中市,(%),小金井市,(%),小平市,(%),国分寺市,(%),西東京市,(%),東村山市,(%),東大和市,(%),清瀬市,(%),東久留米市,(%),武蔵村山市,(%),八王子市２１区,(%),立川市,(%),日野市,(%),国立市,(%),多摩市２１区,(%),稲城市２１区,(%),三鷹市,(%),調布市,(%),狛江市,(%),稲城市２２区,(%),町田市,(%),多摩市２３区,(%),八王子市２４区,(%),青梅市,(%),昭島市,(%),福生市,(%),羽村市,(%),あきる野市,(%),瑞穂町,(%),日の出町,(%),檜原村,(%),奥多摩町,(%),
自民,2000084.000,31.02,13042,39.97,33253,36.03,40759,31.17,29261,36.74,6067,36.72,39063,33.04,21269,34.08,57061,32.37,27864,32.06,1421,38.67,122,56.74,740,52.93,474,46.56,522,41.26,65,32.83,1223,33.75,58,47.54,398,33.79,76542,30.20,27867,30.04,57083,31.39,82414,29.69,6187,33.11,14286,32.55,33040,30.94,23743,29.88,1722,28.20,85703,30.01,79606,29.38,5978,28.76,22349,28.43,26861,30.92,24704,31.15,74069,29.66,12844,30.94,51018,30.23,1643,28.29,12340,27.91,75366,31.46,10891,33.03,40377,31.54,28617,30.42,77817,31.96,71700,30.52,64186,32.38,15580,32.27,23372,31.02,39325,31.85,19477,31.32,27584,29.18,19997,30.54,29329,29.62,20847,28.80,10960,27.62,10530,29.12,16049,29.02,8355,28.55,1549,30.61,26502,31.53,27492,30.76,11409,29.50,4700,30.20,4753,30.44,28233,29.81,34968,29.96,13275,31.36,9236,32.31,64506,31.45,17037,29.30,78075,30.27,20781,34.43,16653,32.76,8260,33.68,7863,31.96,12506,34.48,4771,35.84,2761,35.97,551,44.94,1183,43.86
立民,1293281.168,20.06,5541,16.98,17116,18.55,23446,17.93,14575,18.30,2903,17.57,23998,20.30,12134,19.44,34864,19.78,18819,21.65,588,16.00,22,10.23,239,17.10,178,17.49,229,18.10,41,20.71,728,20.09,14,11.48,232,19.69,39898,15.74,20045,21.61,39639,21.79,61843,22.28,3910,20.92,9349,21.30,24147,22.61,18042,22.71,1394,22.83,65028,22.77,56787,20.96,4160,20.01,18557,23.61,17454,20.09,16798,21.18,50256,20.12,6993,16.84,25614,15.18,895,15.41,5972,13.51,44188,18.45,5758,17.46,21208,16.56,15552,16.53,40763,16.74,41378,17.61,29158,14.71,7229,14.97,20972,27.83,28783,23.31,15483,24.90,22175,23.45,15622,23.86,23897,24.13,13447,18.58,7298,18.39,6581,18.20,10488,18.97,4681,16.00,1044,20.63,17173,20.43,19470,21.78,8627,22.31,3555,22.84,3729,23.88,23945,25.28,26476,22.68,8565,20.24,6282,21.98,47014,22.92,14498,24.93,47854,18.55,12967,21.48,10800,21.24,4922,20.07,5819,23.66,8283,22.83,2688,20.19,1691,22.03,234,19.09,497,18.43
公明,715450.000,11.10,1506,4.62,5519,5.98,13204,10.10,4785,6.01,1050,6.35,6676,5.65,4428,7.10,18245,10.35,7074,8.14,532,14.48,34,15.81,104,7.44,165,16.21,182,14.39,15,7.58,763,21.05,16,13.11,96,8.15,34991,13.81,7660,8.26,12283,6.75,20721,7.46,1337,7.16,3487,7.95,6961,6.52,8163,10.27,592,9.69,19855,6.95,29508,10.89,2285,10.99,8226,10.46,8647,9.95,7759,9.78,31154,12.47,4622,11.13,22541,13.36,1203,20.71,10106,22.86,36281,15.15,3336,10.12,16777,13.10,13103,13.93,29022,11.92,37638,16.02,27006,13.62,6684,13.84,4262,5.66,12041,9.75,4346,6.99,11523,12.19,5532,8.45,9288,9.38,10762,14.87,7226,18.21,4451,12.31,7076,12.80,6440,22.01,611,12.07,10762,12.80,8500,9.51,3366,8.70,1255,8.06,1335,8.55,7272,7.68,11932,10.22,4223,9.98,2882,10.08,23595,11.50,5467,9.40,43736,16.96,8092,13.41,6977,13.72,3702,15.10,3292,13.38,5027,13.86,2327,17.48,1231,16.04,218,17.78,359,13.31
共産,670340.000,10.40,2486,7.62,7375,7.99,14833,11.35,5667,7.12,1146,6.94,14962,12.65,5875,9.41,18563,10.53,8106,9.33,551,14.99,15,6.98,109,7.80,42,4.13,131,10.36,20,10.10,300,8.28,11,9.02,117,9.93,28322,11.18,9204,9.92,15516,8.53,26803,9.66,1601,8.57,3904,8.90,10702,10.02,7733,9.73,540,8.84,30998,10.85,27464,10.14,2532,12.18,8589,10.93,9471,10.90,7771,9.80,28963,11.60,4712,11.35,22188,13.15,683,11.76,5295,11.98,27088,11.31,3340,10.13,12044,9.41,10856,11.54,24159,9.92,22276,9.48,20997,10.59,4701,9.74,6988,9.27,11236,9.10,6469,10.40,9295,9.83,6697,10.23,9936,10.03,9455,13.06,5011,12.63,5677,15.70,7935,14.35,3619,12.37,509,10.06,8776,10.44,10531,11.78,4443,11.49,1636,10.51,1373,8.79,8989,9.49,11625,9.96,5145,12.16,2536,8.87,20356,9.93,6787,11.67,25985,10.08,5737,9.51,4909,9.66,2205,8.99,2342,9.52,3443,9.49,974,7.32,656,8.55,66,5.38,238,8.82
維新,858577.000,13.32,5620,17.22,16851,18.26,19756,15.11,14407,18.09,2893,17.51,16870,14.27,9242,14.81,22735,12.90,13211,15.20,229,6.23,7,3.26,77,5.51,63,6.19,67,5.30,20,10.10,247,6.82,12,9.84,117,9.93,40656,16.04,14660,15.80,30252,16.63,43666,15.73,2981,15.95,6673,15.21,15564,14.57,9828,12.37,849,13.90,36311,12.71,37831,13.96,2727,13.12,9011,11.46,11063,12.73,10279,12.96,30001,12.01,6456,15.55,25623,15.18,692,11.91,5212,11.79,24600,10.27,4838,14.67,19825,15.48,13697,14.56,39729,16.32,31363,13.35,28980,14.62,7310,15.14,8411,11.16,14260,11.55,7043,11.33,11627,12.30,8260,12.62,13263,13.39,8685,12.00,4474,11.27,4269,11.81,6636,12.00,2958,10.11,621,12.27,10002,11.90,11263,12.60,4844,12.52,2298,14.76,2415,15.47,10468,11.05,13141,11.26,4549,10.75,3269,11.44,22488,10.96,6313,10.86,23964,9.29,5573,9.23,4909,9.66,2344,9.56,2274,9.24,2942,8.11,1109,8.33,588,7.66,55,4.49,161,5.97
国民,306179.757,4.75,1702,5.22,4130,4.47,6149,4.70,3879,4.87,859,5.20,6244,5.28,3243,5.20,9092,5.16,4545,5.23,94,2.56,4,1.86,27,1.93,33,3.24,34,2.69,10,5.05,72,1.99,4,3.28,40,3.40,12292,4.85,4650,5.01,9267,5.10,13739,4.95,1016,5.44,2181,4.97,5250,4.92,4003,5.04,321,5.26,14752,5.17,12902,4.76,1017,4.89,3737,4.75,4772,5.49,4223,5.32,11978,4.80,2178,5.25,7448,4.41,242,4.17,1510,3.42,10080,4.21,1537,4.66,6594,5.15,4174,4.44,10696,4.39,10316,4.39,10929,5.51,2708,5.61,4107,5.45,6030,4.88,3280,5.28,4002,4.23,3271,5.00,4293,4.34,2782,3.84,1409,3.55,1526,4.22,2147,3.88,907,3.10,248,4.90,3476,4.13,3879,4.34,1864,4.82,703,4.52,691,4.43,4592,4.85,5749,4.93,1865,4.41,1381,4.83,8498,4.14,2403,4.13,14360,5.57,2137,3.54,2147,4.22,927,3.78,943,3.83,1139,3.14,424,3.19,204,2.66,18,1.47,66,2.45
れ新,360387.000,5.59,1465,4.49,4839,5.24,7462,5.71,4090,5.14,962,5.82,6167,5.22,3813,6.11,9046,5.13,4436,5.10,142,3.86,7,3.26,61,4.36,45,4.42,61,4.82,18,9.09,192,5.30,7,5.74,121,10.27,11837,4.67,5597,6.03,11505,6.33,19037,6.86,974,5.21,2569,5.85,7228,6.77,4965,6.25,447,7.32,22687,7.94,14816,5.47,1253,6.03,5099,6.49,4995,5.75,4360,5.50,13509,5.41,2114,5.09,8045,4.77,228,3.93,2261,5.11,13517,5.64,2010,6.09,6361,4.97,4682,4.98,11085,4.55,11487,4.89,9525,4.81,2334,4.83,4516,5.99,6822,5.53,3706,5.96,4975,5.26,3486,5.32,5422,5.48,3837,5.30,1854,4.67,1810,5.01,2798,5.06,1331,4.55,292,5.77,4268,5.08,4676,5.23,2528,6.54,825,5.30,758,4.85,7824,8.26,8622,7.39,3192,7.54,1946,6.81,10906,5.32,3257,5.60,12638,4.90,2974,4.93,2441,4.80,1272,5.19,1158,4.71,1705,4.70,598,4.49,319,4.16,48,3.92,122,4.52
社民,92995.000,1.44,372,1.14,991,1.07,1851,1.42,810,1.02,159,0.96,1653,1.40,727,1.16,2268,1.29,1118,1.29,45,1.22,1,0.47,14,1.00,7,0.69,21,1.66,5,2.53,49,1.35,0,0.00,17,1.44,3078,1.21,1195,1.29,2602,1.43,4367,1.57,240,1.28,514,1.17,1330,1.25,1073,1.35,78,1.28,4346,1.52,4092,1.51,311,1.50,1108,1.41,1232,1.42,1104,1.39,3796,1.52,570,1.37,2466,1.46,91,1.57,467,1.06,2713,1.13,395,1.20,1461,1.14,1124,1.19,2845,1.17,2407,1.02,2380,1.20,548,1.13,1221,1.62,2065,1.67,1118,1.80,1581,1.67,1244,1.90,1501,1.52,1065,1.47,615,1.55,618,1.71,1100,1.99,367,1.25,93,1.84,1214,1.44,1551,1.74,833,2.15,270,1.73,246,1.58,1462,1.54,1732,1.48,658,1.55,382,1.34,3326,1.62,1217,2.09,6014,2.33,905,1.50,927,1.82,378,1.54,385,1.57,551,1.52,142,1.07,111,1.45,25,2.04,37,1.37
Ｎ党,92353.000,1.43,557,1.71,1563,1.69,2105,1.61,1472,1.85,337,2.04,1686,1.43,1099,1.76,2867,1.63,1123,1.29,33,0.90,2,0.93,12,0.86,6,0.59,12,0.95,4,2.02,32,0.88,0,0.00,26,2.21,3591,1.42,1272,1.37,2467,1.36,3075,1.11,298,1.59,610,1.39,1714,1.60,1158,1.46,102,1.67,3726,1.30,3942,1.46,319,1.53,1164,1.48,1403,1.61,1266,1.60,3664,1.47,600,1.45,2350,1.39,82,1.41,646,1.46,3598,1.50,508,1.54,2208,1.72,1414,1.50,3964,1.63,4108,1.75,3184,1.61,728,1.51,933,1.24,1837,1.49,794,1.28,1074,1.14,872,1.33,1316,1.33,939,1.30,490,1.23,431,1.19,687,1.24,340,1.16,64,1.26,1228,1.46,1261,1.41,500,1.29,200,1.29,212,1.36,1194,1.26,1559,1.34,528,1.25,447,1.56,2789,1.36,728,1.25,3212,1.25,713,1.18,634,1.25,278,1.13,332,1.35,394,1.09,176,1.32,71,0.92,6,0.49,17,0.63
やまと,16970.000,0.26,105,0.32,144,0.16,300,0.23,152,0.19,33,0.20,196,0.17,134,0.21,479,0.27,160,0.18,16,0.44,0,0.00,6,0.43,5,0.49,2,0.16,0,0.00,12,0.33,0,0.00,7,0.59,601,0.24,163,0.18,483,0.27,677,0.24,27,0.14,70,0.16,226,0.21,170,0.21,10,0.16,519,0.18,2283,0.84,43,0.21,262,0.33,467,0.54,405,0.51,601,0.24,132,0.32,372,0.22,9,0.15,84,0.19,739,0.31,105,0.32,278,0.22,210,0.22,454,0.19,859,0.37,449,0.23,139,0.29,139,0.18,333,0.27,117,0.19,201,0.21,109,0.17,172,0.17,143,0.20,130,0.33,71,0.20,175,0.32,81,0.28,7,0.14,172,0.20,180,0.20,69,0.18,30,0.19,24,0.15,158,0.17,361,0.31,93,0.22,55,0.19,500,0.24,116,0.20,438,0.17,137,0.23,103,0.20,69,0.28,52,0.21,89,0.25,28,0.21,13,0.17,2,0.16,15,0.56
