,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,青森１区
,,開票所名,,,,計,青森市,むつ市,平内町,今別町,蓬田村,外ヶ浜町,野辺地町,横浜町,六ヶ所村,大間町,東通村,風間浦村,佐井村
,,有権者数,,,,342174,238676,47792,9301,2303,2344,5175,11186,3816,8664,4330,5306,1591,1690
,,投票率,(％),,,51.84,50.08,54.46,57.23,62.09,54.14,59.01,59.25,55.71,55.96,48.31,56.90,63.10,60.83

,,投票者数,,,,177377,119528,26028,5323,1430,1269,3054,6628,2126,4848,2092,3019,1004,1028
,,無効票＋他,,,,3713,2682,543,61,48,30,42,73,41,65,38,46,22,22
,,有効票,,,,173664,116846,25485,5262,1382,1239,3012,6555,2085,4783,2054,2973,982,1006

当,重複,江渡聡徳,自民,前,66歳,91011,56141,15630,2895,632,582,1451,4172,1255,3717,1311,2067,536,622
,,得票率,(％),,,52.41,48.05,61.33,55.02,45.73,46.97,48.17,63.65,60.19,77.71,63.83,69.53,54.58,61.83
,重複,升田世喜男,立民,元,64歳,64870,47185,7711,1975,653,558,1308,1963,542,889,623,740,394,329
,,得票率,(％),,,37.35,40.38,30.26,37.53,47.25,45.04,43.43,29.95,26.00,18.59,30.33,24.89,40.12,32.70
,,斎藤美緒,共産,新,41歳,17783,13520,2144,392,97,99,253,420,288,177,120,166,52,55
,,得票率,(％),,,10.24,11.57,8.41,7.45,7.02,7.99,8.40,6.41,13.81,3.70,5.84,5.58,5.30,5.47


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,青森２区
,,開票所名,,,,計,八戸市,十和田市,三沢市,七戸町,六戸町,東北町,おいらせ町,三戸町,五戸町,田子町,南部町,階上町,新郷村
,,有権者数,,,,389510,191658,51435,32059,13179,9136,14682,20851,8401,14631,4626,15335,11422,2095
,,投票率,(％),,,53.56,55.83,48.69,55.60,48.52,48.75,47.27,53.39,55.01,50.93,58.71,51.34,51.14,63.96

,,投票者数,,,,208631,107001,25043,17824,6395,4454,6940,11132,4621,7451,2716,7873,5841,1340
,,無効票＋他,,,,3621,1589,575,452,158,87,135,207,78,100,40,89,85,26
,,有効票,,,,205010,105412,24468,17372,6237,4367,6805,10925,4543,7351,2676,7784,5756,1314

当,重複,神田潤一,自民,新,51歳,126137,63348,14260,11972,3802,2695,4482,7145,2949,4430,1878,4974,3403,799
,,得票率,(％),,,61.53,60.10,58.28,68.92,60.96,61.71,65.86,65.40,64.91,60.26,70.18,63.90,59.12,60.81
,重複,高畑紀子,立民,新,58歳,65908,34952,8327,4434,1976,1367,2012,3202,1412,2614,696,2429,2017,470
,,得票率,(％),,,32.15,33.16,34.03,25.52,31.68,31.30,29.57,29.31,31.08,35.56,26.01,31.21,35.04,35.77
,,田端深雪,共産,新,64歳,12965,7112,1881,966,459,305,311,578,182,307,102,381,336,45
,,得票率,(％),,,6.32,6.75,7.69,5.56,7.36,6.98,4.57,5.29,4.01,4.18,3.81,4.89,5.84,3.42


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,青森３区
,,開票所名,,,,計,弘前市,黒石市,五所川原市,つがる市,平川市,鰺ヶ沢町,深浦町,西目屋村,藤崎町,大鰐町,田舎館村,板柳町,鶴田町,中泊町
,,有権者数,,,,347625,144373,27994,46324,27245,26376,8414,6956,1136,12584,8174,6562,11488,10724,9275
,,投票率,(％),,,53.29,52.46,50.88,52.54,52.43,54.19,56.62,62.72,66.11,58.26,57.72,59.45,50.91,52.59,54.29

,,投票者数,,,,185254,75745,14243,24337,14285,14292,4764,4363,751,7331,4718,3901,5849,5640,5035
,,無効票＋他,,,,3228,1520,257,375,189,269,73,77,4,69,67,56,84,120,68
,,有効票,,,,182026,74225,13986,23962,14096,14023,4691,4286,747,7262,4651,3845,5765,5520,4967

当,重複,木村次郎,自民,前,53歳,118230,44563,9365,14782,9638,9862,3394,3142,522,5662,3396,2700,4003,3782,3419
,,得票率,(％),,,64.95,60.04,66.96,61.69,68.37,70.33,72.35,73.31,69.88,77.97,73.02,70.22,69.44,68.51,68.83
,重複,山内崇,立民,新,66歳,63796,29662,4621,9180,4458,4161,1297,1144,225,1600,1255,1145,1762,1738,1548
,,得票率,(％),,,35.05,39.96,33.04,38.31,31.63,29.67,27.65,26.69,30.12,22.03,26.98,29.78,30.56,31.49,31.17


