,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福井１区
,,開票所名,,,,計,福井市,大野市,勝山市,あわら市,坂井市,永平寺町
,,有権者数,,,,375210,215745,27216,19127,23287,74522,15313
,,投票率,(％),,,56.82,55.59,56.33,61.36,60.18,57.11,62.78

,,投票者数,,,,213200,119942,15331,11737,14015,42561,9614
,,無効票＋他,,,,5184,3051,399,243,302,964,225
,,有効票,,,,208016,116891,14932,11494,13713,41597,9389

当,重複,稲田朋美,自民,前,62歳,136171,73665,10359,8331,9510,27804,6502
,,得票率,(％),,,65.46,63.02,69.37,72.48,69.35,66.84,69.25
,重複,野田富久,立民,新,74歳,71845,43226,4573,3163,4203,13793,2887
,,得票率,(％),,,34.54,36.98,30.63,27.52,30.65,33.16,30.75


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,福井２区
,,開票所名,,,,計,敦賀市,小浜市,鯖江市,越前市,池田町,南越前町,越前町,美浜町,高浜町,おおい町,若狭町
,,有権者数,,,,262612,53563,24063,56416,65058,2164,8671,17601,7896,8446,6729,12005
,,投票率,(％),,,59.12,57.93,63.79,54.46,54.79,65.39,66.39,64.82,66.60,64.65,71.75,69.87

,,投票者数,,,,155262,31027,15349,30726,35644,1415,5757,11409,5259,5460,4828,8388
,,無効票＋他,,,,3573,799,305,892,699,38,124,257,85,135,83,156
,,有効票,,,,151689,30228,15044,29834,34945,1377,5633,11152,5174,5325,4745,8232

当,重複,高木毅,自民,前,65歳,81705,17389,8337,14872,15656,845,3170,6235,3507,3382,3227,5085
,,得票率,(％),,,53.86,57.53,55.42,49.85,44.80,61.37,56.28,55.91,67.78,63.51,68.01,61.77
,重複,斉木武志,立民,前,47歳,69984,12839,6707,14962,19289,532,2463,4917,1667,1943,1518,3147
,,得票率,(％),,,46.14,42.47,44.58,50.15,55.20,38.63,43.72,44.09,32.22,36.49,31.99,38.23


