,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島１区
,,開票所名,,,,計,広島市中区,広島市東区,広島市南区
,,有権者数,,,,332001,115006,98787,118208
,,投票率,(％),,,50.81,49.26,51.41,51.82

,,投票者数,,,,168698,56652,50786,61260
,,無効票＋他,,,,2952,1133,825,994
,,有効票,,,,165746,55519,49961,60266

当,,岸田文雄,自民,前,64歳,133704,44490,40125,49089
,,得票率,(％),,,80.67,80.13,80.31,81.45
,重複,有田優子,社民,新,51歳,15904,5085,4860,5959
,,得票率,(％),,,9.60,9.16,9.73,9.89
,,大西理,共産,新,55歳,14508,5295,4556,4657
,,得票率,(％),,,8.75,9.54,9.12,7.73
,,上出圭一,諸派,新,65歳,1630,649,420,561
,,得票率,(％),,,0.98,1.17,0.84,0.93


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島２区
,,開票所名,,,,計,広島市西区,広島市佐伯区,大竹市,廿日市市,江田島市２区
,,有権者数,,,,404009,155755,115852,22643,97438,12321
,,投票率,(％),,,51.48,49.61,50.15,54.15,54.86,55.86

,,投票者数,,,,207972,77277,58094,12262,53456,6883
,,無効票＋他,,,,3907,1666,1089,233,845,74
,,有効票,,,,204065,75611,57005,12029,52611,6809

当,,平口洋,自民,前,73歳,133126,48487,37143,7769,34380,5347
,,得票率,(％),,,65.24,64.13,65.16,64.59,65.35,78.53
,重複,大井赤亥,立民,新,40歳,70939,27124,19862,4260,18231,1462
,,得票率,(％),,,34.76,35.87,34.84,35.41,34.65,21.47


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島３区
,,開票所名,,,,計,広島市安佐南区,広島市安佐北区,安芸高田市,安芸太田町,北広島町
,,有権者数,,,,360198,196390,119906,23500,5291,15111
,,投票率,(％),,,51.07,49.59,49.90,57.98,68.61,62.68

,,投票者数,,,,183963,97398,59839,13625,3630,9471
,,無効票＋他,,,,6289,3589,1946,368,98,288
,,有効票,,,,177674,93809,57893,13257,3532,9183

当,,斉藤鉄夫,公明,前,69歳,97844,49515,32047,8360,2347,5575
,,得票率,(％),,,55.07,52.78,55.36,63.06,66.45,60.71
,重複,ライアン真由美,立民,新,58歳,53143,28401,17843,3524,868,2507
,,得票率,(％),,,29.91,30.28,30.82,26.58,24.58,27.30
,重複,瀬木寛親,維新,新,57歳,18088,11159,5279,862,161,627
,,得票率,(％),,,10.18,11.90,9.12,6.50,4.56,6.83
,,大山宏,無,新,73歳,3559,2146,899,207,62,245
,,得票率,(％),,,2.00,2.29,1.55,1.56,1.76,2.67
,重複,矢島秀平,Ｎ党,新,29歳,2789,1610,828,157,52,142
,,得票率,(％),,,1.57,1.72,1.43,1.18,1.47,1.55
,,玉田憲勲,無,新,64歳,2251,978,997,147,42,87
,,得票率,(％),,,1.27,1.04,1.72,1.11,1.19,0.95


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島４区
,,開票所名,,,,計,広島市安芸区,三原市大和,東広島市東広島,府中町,海田町,熊野町,坂町
,,有権者数,,,,309781,64469,4339,142634,43261,24509,19894,10675
,,投票率,(％),,,53.18,50.60,62.55,53.56,53.49,51.30,54.40,60.50

,,投票者数,,,,164727,32621,2714,76398,23140,12574,10822,6458
,,無効票＋他,,,,2715,544,39,1201,410,206,204,111
,,有効票,,,,162012,32077,2675,75197,22730,12368,10618,6347

当,重複,新谷正義,自民,前,46歳,78253,14632,1429,37501,10069,6072,5233,3317
,,得票率,(％),,,48.30,45.62,53.42,49.87,44.30,49.09,49.28,52.26
,重複,上野寛治,立民,新,39歳,33681,6734,469,14968,6174,2361,1812,1163
,,得票率,(％),,,20.79,20.99,17.53,19.91,27.16,19.09,17.07,18.32
,重複,空本誠喜,維新,元,57歳,28966,6003,437,12955,4297,2257,1928,1089
,,得票率,(％),,,17.88,18.71,16.34,17.23,18.90,18.25,18.16,17.16
,,中川俊直,無,元,51歳,21112,4708,340,9773,2190,1678,1645,778
,,得票率,(％),,,13.03,14.68,12.71,13.00,9.63,13.57,15.49,12.26


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島５区
,,開票所名,,,,計,呉市,竹原市,三原市本郷,尾道市瀬戸田,東広島市安芸津,江田島市５区,大崎上島町
,,有権者数,,,,242034,184250,21326,8821,6590,7922,6991,6134
,,投票率,(％),,,54.52,54.01,55.53,53.25,55.36,56.07,56.39,63.16

,,投票者数,,,,131954,99509,11842,4697,3648,4442,3942,3874
,,無効票＋他,,,,2732,2249,161,73,61,59,82,47
,,有効票,,,,129222,97260,11681,4624,3587,4383,3860,3827

当,重複,寺田稔,自民,前,63歳,87434,64678,8237,2974,2532,3191,3034,2788
,,得票率,(％),,,67.66,66.50,70.52,64.32,70.59,72.80,78.60,72.85
,重複,野村功次郎,立民,新,51歳,41788,32582,3444,1650,1055,1192,826,1039
,,得票率,(％),,,32.34,33.50,29.48,35.68,29.41,27.20,21.40,27.15


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島６区
,,開票所名,,,,計,三原市三原,尾道市尾道,府中市,三次市,庄原市,世羅町,神石高原町
,,有権者数,,,,294154,63241,106019,32281,42767,28985,13266,7595
,,投票率,(％),,,56.35,52.47,53.94,55.74,60.11,63.28,64.72,62.49

,,投票者数,,,,165745,33182,57189,17993,25707,18342,8586,4746
,,無効票＋他,,,,2791,586,932,379,421,275,122,76
,,有効票,,,,162954,32596,56257,17614,25286,18067,8464,4670

当,重複,佐藤公治,立民,前,62歳,83796,15299,31808,8168,12684,10625,2765,2447
,,得票率,(％),,,51.42,46.94,56.54,46.37,50.16,58.81,32.67,52.40
,重複,小島敏文,自民,前,71歳,79158,17297,24449,9446,12602,7442,5699,2223
,,得票率,(％),,,48.58,53.06,43.46,53.63,49.84,41.19,67.33,47.60


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,広島７区
,,開票所名,,,,計,福山市
,,有権者数,,,,382135,382135
,,投票率,(％),,,49.35,49.35

,,投票者数,,,,188589,188589
,,無効票＋他,,,,2886,2886
,,有効票,,,,185703,185703

当,重複,小林史明,自民,前,38歳,123396,123396
,,得票率,(％),,,66.45,66.45
,重複,佐藤広典,立民,新,45歳,45520,45520
,,得票率,(％),,,24.51,24.51
,,村井明美,共産,新,73歳,11580,11580
,,得票率,(％),,,6.24,6.24
,,橋本加代,無,新,48歳,5207,5207
,,得票率,(％),,,2.80,2.80


