,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,奈良１区
,,開票所名,,,,計,奈良市１区,生駒市
,,有権者数,,,,395066,297217,97849
,,投票率,(％),,,61.30,60.03,65.16

,,投票者数,,,,242181,178426,63755
,,無効票＋他,,,,3413,2592,821
,,有効票,,,,238768,175834,62934

当,重複,馬淵澄夫,立民,前,61歳,93050,71269,21781
,,得票率,(％),,,38.97,40.53,34.61
,重複,小林茂樹,自民,前,57歳,83718,61726,21992
,,得票率,(％),,,35.06,35.10,34.94
,重複,前川清成,維新,新,58歳,62000,42839,19161
,,得票率,(％),,,25.97,24.36,30.45


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,奈良２区
,,開票所名,,,,計,奈良市２区,大和郡山市,天理市,香芝市,山添村,平群町,三郷町,斑鳩町,安堵町,川西町,三宅町,田原本町,上牧町,王寺町,広陵町,河合町
,,有権者数,,,,383875,4394,72619,52400,63797,2983,16108,19368,23453,6212,7072,5808,26903,19076,19896,28611,15175
,,投票率,(％),,,58.69,65.79,57.81,51.29,56.83,77.71,67.79,61.82,60.88,58.84,62.26,61.29,56.92,59.23,63.63,60.23,63.82

,,投票者数,,,,225303,2891,41983,26874,36259,2318,10920,11973,14279,3655,4403,3560,15312,11298,12660,17233,9685
,,無効票＋他,,,,5834,70,1101,616,1038,39,196,333,291,75,134,71,404,329,366,479,292
,,有効票,,,,219469,2821,40882,26258,35221,2279,10724,11640,13988,3580,4269,3489,14908,10969,12294,16754,9393

当,重複,高市早苗,自民,前,60歳,141858,2096,26290,18003,22639,1811,5926,6812,8677,2418,2931,2279,9899,6999,7928,11281,5869
,,得票率,(％),,,64.64,74.30,64.31,68.56,64.28,79.46,55.26,58.52,62.03,67.54,68.66,65.32,66.40,63.81,64.49,67.33,62.48
,重複,猪奥美里,立民,新,41歳,54326,577,11039,6617,9714,393,1788,2186,2870,665,1011,992,3768,2854,3192,4047,2613
,,得票率,(％),,,24.75,20.45,27.00,25.20,27.58,17.24,16.67,18.78,20.52,18.58,23.68,28.43,25.28,26.02,25.96,24.16,27.82
,,宮本次郎,共産,新,46歳,23285,148,3553,1638,2868,75,3010,2642,2441,497,327,218,1241,1116,1174,1426,911
,,得票率,(％),,,10.61,5.25,8.69,6.24,8.14,3.29,28.07,22.70,17.45,13.88,7.66,6.25,8.32,10.17,9.55,8.51,9.70


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,奈良３区
,,開票所名,,,,計,大和高田市,橿原市,桜井市,五條市,御所市,葛城市,宇陀市,曽爾村,御杖村,高取町,明日香村,吉野町,大淀町,下市町,黒滝村,天川村,野迫川村,十津川村,下北山村,上北山村,川上村,東吉野村
,,有権者数,,,,355246,55319,102200,47342,25430,21990,30547,25365,1252,1428,5699,4726,6009,14591,4543,609,1188,328,2736,770,460,1191,1523
,,投票率,(％),,,57.19,54.38,53.64,53.71,61.19,55.33,58.44,62.87,71.09,69.75,61.34,68.35,66.67,60.42,68.19,75.04,72.81,82.93,77.92,80.13,76.96,76.15,77.54

,,投票者数,,,,203175,30084,54822,25426,15560,12168,17852,15946,890,996,3496,3230,4006,8816,3098,457,865,272,2132,617,354,907,1181
,,無効票＋他,,,,14795,2204,4120,1832,1214,941,1154,1057,56,41,275,209,289,774,243,31,46,11,139,37,15,45,62
,,有効票,,,,188380,27880,50702,23594,14346,11227,16698,14889,834,955,3221,3021,3717,8042,2855,426,819,261,1993,580,339,862,1119

当,,田野瀬太道,自民,前,47歳,114553,15394,28030,14250,10406,7613,9875,8680,630,766,2062,1997,2571,5316,2004,317,652,222,1537,453,287,637,854
,,得票率,(％),,,60.81,55.22,55.28,60.40,72.54,67.81,59.14,58.30,75.54,80.21,64.02,66.10,69.17,66.10,70.19,74.41,79.61,85.06,77.12,78.10,84.66,73.90,76.32
,,西川正克,共産,新,63歳,34334,6258,10312,4262,2008,1978,3195,1956,76,67,605,541,515,1432,430,53,79,23,236,61,18,120,109
,,得票率,(％),,,18.23,22.45,20.34,18.06,14.00,17.62,19.13,13.14,9.11,7.02,18.78,17.91,13.86,17.81,15.06,12.44,9.65,8.81,11.84,10.52,5.31,13.92,9.74
,,高見省次,無,新,61歳,32669,4789,10430,4282,1471,1213,2990,3867,107,109,464,406,538,1027,358,47,73,15,177,54,30,91,131
,,得票率,(％),,,17.34,17.18,20.57,18.15,10.25,10.80,17.91,25.97,12.83,11.41,14.41,13.44,14.47,12.77,12.54,11.03,8.91,5.75,8.88,9.31,8.85,10.56,11.71
,,加藤孝,Ｎ党,新,43歳,6824,1439,1930,800,461,423,638,386,21,13,90,77,93,267,63,9,15,1,43,12,4,14,25
,,得票率,(％),,,3.62,5.16,3.81,3.39,3.21,3.77,3.82,2.59,2.52,1.36,2.79,2.55,2.50,3.32,2.21,2.11,1.83,0.38,2.16,2.07,1.18,1.62,2.23


