,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪１区
,,開票所名,,,,計,大阪市中央区,大阪市西区,大阪市港区,大阪市天王寺区,大阪市浪速区,大阪市東成区
,,有権者数,,,,427637,87860,85610,66922,62899,56881,67465
,,投票率,(％),,,53.27,52.25,52.94,56.23,60.36,40.22,56.46

,,投票者数,,,,227796,45909,45320,37631,37966,22879,38091
,,無効票＋他,,,,4860,955,985,813,770,556,781
,,有効票,,,,222936,44954,44335,36818,37196,22323,37310

当,重複,井上英孝,維新,前,50歳,110120,22212,23188,18142,17856,10863,17859
,,得票率,(％),,,49.40,49.41,52.30,49.27,48.01,48.66,47.87
,重複,大西宏幸,自民,前,54歳,67145,13265,12430,11542,11725,6723,11460
,,得票率,(％),,,30.12,29.51,28.04,31.35,31.52,30.12,30.72
,重複,村上賀厚,立民,新,62歳,28477,5933,5722,3859,4985,2717,5261
,,得票率,(％),,,12.77,13.20,12.91,10.48,13.40,12.17,14.10
,,竹内祥倫,共産,新,39歳,17194,3544,2995,3275,2630,2020,2730
,,得票率,(％),,,7.71,7.88,6.76,8.90,7.07,9.05,7.32


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪２区
,,開票所名,,,,計,大阪市生野区,大阪市阿倍野区,大阪市東住吉区,大阪市平野区
,,有権者数,,,,446933,86720,91105,110172,158936
,,投票率,(％),,,56.98,53.09,63.44,56.85,55.49

,,投票者数,,,,254650,46039,57793,62632,88186
,,無効票＋他,,,,5313,978,1055,1283,1997
,,有効票,,,,249337,45061,56738,61349,86189

当,重複,守島正,維新,新,40歳,120913,22599,27912,29842,40560
,,得票率,(％),,,48.49,50.15,49.19,48.64,47.06
,重複,左藤章,自民,前,70歳,80937,13645,17843,19164,30285
,,得票率,(％),,,32.46,30.28,31.45,31.24,35.14
,重複,尾辻かな子,立民,前,46歳,47487,8817,10983,12343,15344
,,得票率,(％),,,19.05,19.57,19.36,20.12,17.80


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,大阪３区
,,開票所名,,,,計,大阪市大正区,大阪市住之江区,大阪市住吉区,大阪市西成区
,,有権者数,,,,367518,54177,100145,127454,85742
,,投票率,(％),,,53.87,55.10,56.68,55.54,47.33

,,投票者数,,,,197989,29849,56767,70792,40581
,,無効票＋他,,,,19938,2556,5815,7619,3948
,,有効票,,,,178051,27293,50952,63173,36633

当,,佐藤茂樹,公明,前,62歳,79507,12374,22902,26189,18042
,,得票率,(％),,,44.65,45.34,44.95,41.46,49.25
,重複,萩原仁,立民,元,54歳,41737,5390,12218,15919,8210
