,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,佐賀１区
,,開票所名,,,,計,佐賀市,鳥栖市,神埼市,吉野ヶ里町,基山町,上峰町,みやき町
,,有権者数,,,,333792,191489,59324,25899,13129,14528,7864,21559
,,投票率,(％),,,56.19,53.74,57.19,61.06,57.54,66.93,60.13,59.87

,,投票者数,,,,187566,102909,33930,15813,7555,9723,4729,12907
,,無効票＋他,,,,2795,1367,595,228,155,173,67,210
,,有効票,,,,184771,101542,33335,15585,7400,9550,4662,12697

当,重複,原口一博,立民,前,62歳,92452,52694,16924,7197,3113,4349,2068,6107
,,得票率,(％),,,50.04,51.89,50.77,46.18,42.07,45.54,44.36,48.10
,重複,岩田和親,自民,前,48歳,92319,48848,16411,8388,4287,5201,2594,6590
,,得票率,(％),,,49.96,48.11,49.23,53.82,57.93,54.46,55.64,51.90


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,佐賀２区
,,開票所名,,,,計,唐津市,多久市,伊万里市,武雄市,鹿島市,小城市,嬉野市,玄海町,有田町,大町町,江北町,白石町,太良町
,,有権者数,,,,340930,98714,15843,44107,40108,23585,36923,21369,4564,16208,5461,7892,18881,7275
,,投票率,(％),,,60.75,57.90,59.93,61.93,60.31,63.01,57.14,63.17,63.28,65.58,63.39,66.41,66.67,64.29

,,投票者数,,,,207101,57158,9494,27315,24189,14861,21099,13499,2888,10630,3462,5241,12588,4677
,,無効票＋他,,,,2269,646,95,289,263,161,227,131,24,181,24,53,97,78
,,有効票,,,,204832,56512,9399,27026,23926,14700,20872,13368,2864,10449,3438,5188,12491,4599

当,重複,大串博志,立民,前,56歳,106608,23076,5227,13240,12584,9316,12945,7552,1014,5444,1822,3185,8561,2642
,,得票率,(％),,,52.05,40.83,55.61,48.99,52.60,63.37,62.02,56.49,35.41,52.10,53.00,61.39,68.54,57.45
,重複,古川康,自民,前,63歳,98224,33436,4172,13786,11342,5384,7927,5816,1850,5005,1616,2003,3930,1957
,,得票率,(％),,,47.95,59.17,44.39,51.01,47.40,36.63,37.98,43.51,64.59,47.90,47.00,38.61,31.46,42.55


