,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,島根１区
,,開票所名,,,,計,松江市,出雲市１区,安来市,雲南市１区,奥出雲町,海士町,西ノ島町,知夫村,隠岐の島町
,,有権者数,,,,268337,166761,20664,31773,22036,10525,1886,2409,550,11733
,,投票率,(％),,,61.23,58.21,64.53,61.91,68.75,69.21,79.80,70.03,78.73,69.61

,,投票者数,,,,164296,97066,13334,19670,15150,7284,1505,1687,433,8167
,,無効票＋他,,,,2492.025,1564.003,180.003,311.003,189.003,101.003,16.003,21.002,6.002,104.003
,,有効票,,,,161803.975,95501.997,13153.997,19358.997,14960.997,7182.997,1488.997,1665.998,426.998,8062.997

当,,細田博之,自民,前,77歳,90638,52078,8250,10398,8309,4458,929,978,277,4961
,,得票率,(％),,,56.02,54.53,62.72,53.71,55.54,62.06,62.39,58.70,64.87,61.53
,重複,亀井亜紀子,立民,前,56歳,66847.067,41131.771,4706.393,8114.434,6111.788,2533.112,505.075,647.399,144.485,2952.61
,,得票率,(％),,,41.31,43.07,35.78,41.92,40.85,35.27,33.92,38.86,33.84,36.62
,,亀井彰子,無,新,64歳,4318.908,2292.226,197.604,846.563,540.209,191.885,54.922,40.599,5.513,149.387
,,得票率,(％),,,2.67,2.40,1.50,4.37,3.61,2.67,3.69,2.44,1.29,1.85


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,島根２区
,,開票所名,,,,計,浜田市,出雲市２区,益田市,大田市,江津市,雲南市２区,飯南町,川本町,美郷町,邑南町,津和野町,吉賀町
,,有権者数,,,,291649,44208,121041,38205,28627,19380,9503,4051,2729,3792,8836,6200,5077
,,投票率,(％),,,61.85,58.26,59.31,61.45,60.68,66.08,68.88,75.83,76.88,74.53,73.38,75.84,68.27

,,投票者数,,,,180389,25756,71785,23476,17371,12807,6546,3072,2098,2826,6484,4702,3466
,,無効票＋他,,,,3685,539,1387,528,437,125,131,52,32,72,129,164,89
,,有効票,,,,176704,25217,70398,22948,16934,12682,6415,3020,2066,2754,6355,4538,3377

当,重複,高見康裕,自民,新,41歳,110327,15312,46536,14085,10274,5572,4396,2022,1363,1831,4278,2612,2046
,,得票率,(％),,,62.44,60.72,66.10,61.38,60.67,43.94,68.53,66.95,65.97,66.49,67.32,57.56,60.59
,重複,山本誉,立民,新,64歳,52016,8119,17802,6987,4975,6412,1681,729,588,680,1558,1523,962
,,得票率,(％),,,29.44,32.20,25.29,30.45,29.38,50.56,26.20,24.14,28.46,24.69,24.52,33.56,28.49
,,向瀬慎一,共産,新,50歳,14361,1786,6060,1876,1685,698,338,269,115,243,519,403,369
,,得票率,(％),,,8.13,7.08,8.61,8.18,9.95,5.50,5.27,8.91,5.57,8.82,8.17,8.88,10.93


