,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,徳島１区
,,開票所名,,,,計,徳島市,小松島市,阿南市,勝浦町,上勝町,佐那河内村,石井町,神山町,那賀町,牟岐町,美波町,海陽町
,,有権者数,,,,362130,212049,31818,60439,4408,1349,1978,21423,4592,7022,3535,5667,7850
,,投票率,(％),,,55.93,52.41,57.74,60.55,64.41,70.20,69.16,59.20,63.35,64.23,66.93,65.61,64.75

,,投票者数,,,,202532,111141,18371,36598,2839,947,1368,12682,2909,4510,2366,3718,5083
,,無効票＋他,,,,3787,2242,321,566,68,25,25,203,58,60,44,71,104
,,有効票,,,,198745,108899,18050,36032,2771,922,1343,12479,2851,4450,2322,3647,4979

当,,仁木博文,無,元,55歳,99474,51356,9321,21351,1501,424,702,5336,1339,2628,1187,1826,2503
,,得票率,(％),,,50.05,47.16,51.64,59.26,54.17,45.99,52.27,42.76,46.97,59.06,51.12,50.07,50.27
,重複,後藤田正純,自民,前,52歳,77398,43256,7020,11863,1076,437,547,5978,1353,1513,896,1487,1972
,,得票率,(％),,,38.94,39.72,38.89,32.92,38.83,47.40,40.73,47.90,47.46,34.00,38.59,40.77,39.61
,重複,吉田知代,維新,新,46歳,20065,13111,1580,2566,187,57,88,1043,140,295,214,305,479
,,得票率,(％),,,10.10,12.04,8.75,7.12,6.75,6.18,6.55,8.36,4.91,6.63,9.22,8.36,9.62
,,佐藤行俊,無,新,73歳,1808,1176,129,252,7,4,6,122,19,14,25,29,25
,,得票率,(％),,,0.91,1.08,0.71,0.70,0.25,0.43,0.45,0.98,0.67,0.31,1.08,0.80,0.50


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,徳島２区
,,開票所名,,,,計,鳴門市,吉野川市,阿波市,美馬市,三好市,松茂町,北島町,藍住町,板野町,上板町,つるぎ町,東みよし町
,,有権者数,,,,260655,48215,34372,31072,24185,21610,12377,19062,29019,11314,10025,7481,11923
,,投票率,(％),,,50.99,47.58,52.46,47.09,54.89,58.95,47.89,51.26,48.14,48.87,47.08,61.61,56.58

,,投票者数,,,,132896,22943,18033,14632,13276,12740,5927,9772,13969,5529,4720,4609,6746
,,無効票＋他,,,,3693,735,573,343,366,214,186,351,377,170,113,138,127
,,有効票,,,,129203,22208,17460,14289,12910,12526,5741,9421,13592,5359,4607,4471,6619

当,重複,山口俊一,自民,前,71歳,76879,13087,9160,8563,8288,8961,3512,4957,7280,2832,2610,3170,4459
,,得票率,(％),,,59.50,58.93,52.46,59.93,64.20,71.54,61.17,52.62,53.56,52.85,56.65,70.90,67.37
,重複,中野真由美,立民,新,50歳,43473,7379,6915,4839,4148,3027,1873,3818,5055,1874,1598,1073,1874
,,得票率,(％),,,33.65,33.23,39.60,33.87,32.13,24.17,32.62,40.53,37.19,34.97,34.69,24.00,28.31
,,久保孝之,共産,新,58歳,8851,1742,1385,887,474,538,356,646,1257,653,399,228,286
,,得票率,(％),,,6.85,7.84,7.93,6.21,3.67,4.30,6.20,6.86,9.25,12.19,8.66,5.10,4.32


