,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,鳥取１区
,,開票所名,,,,計,鳥取市,倉吉市,岩美町,若桜町,智頭町,八頭町,三朝町
,,有権者数,,,,230959,154746,38566,9601,2713,5832,14176,5325
,,投票率,(％),,,56.10,54.18,54.13,60.96,71.99,65.24,65.00,75.64

,,投票者数,,,,129568,83840,20875,5853,1953,3805,9214,4028
,,無効票＋他,,,,4142,2847,598,144,66,123,238,126
,,有効票,,,,125426,80993,20277,5709,1887,3682,8976,3902

当,重複,石破茂,自民,前,64歳,105441,67282,17178,4642,1663,3229,8040,3407
,,得票率,(％),,,84.07,83.07,84.72,81.31,88.13,87.70,89.57,87.31
,,岡田正和,共産,新,39歳,19985,13711,3099,1067,224,453,936,495
,,得票率,(％),,,15.93,16.93,15.28,18.69,11.87,12.30,10.43,12.69


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,鳥取２区
,,開票所名,,,,計,米子市,境港市,湯梨浜町,琴浦町,北栄町,日吉津村,大山町,南部町,伯耆町,日南町,日野町,江府町
,,有権者数,,,,234420,122189,28209,13890,14219,12357,2895,13518,8986,9115,3924,2662,2456
,,投票率,(％),,,60.20,56.32,60.04,60.40,66.18,63.87,71.71,65.49,66.28,67.01,72.86,71.68,77.48

,,投票者数,,,,141113,68822,16936,8389,9410,7893,2076,8853,5956,6108,2859,1908,1903
,,無効票＋他,,,,2161,1058,277,172,117,98,38,141,71,87,43,28,31
,,有効票,,,,138952,67764,16659,8217,9293,7795,2038,8712,5885,6021,2816,1880,1872

当,重複,赤沢亮正,自民,前,60歳,75005,34439,9944,5006,5381,4513,1139,4618,3040,3072,1661,1087,1105
,,得票率,(％),,,53.98,50.82,59.69,60.92,57.90,57.90,55.89,53.01,51.66,51.02,58.98,57.82,59.03
,重複,湯原俊二,立民,元,58歳,63947,33325,6715,3211,3912,3282,899,4094,2845,2949,1155,793,767
,,得票率,(％),,,46.02,49.18,40.31,39.08,42.10,42.10,44.11,46.99,48.34,48.98,41.02,42.18,40.97


