,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,和歌山１区
,,開票所名,,,,計,和歌山市
,,有権者数,,,,307817,307817
,,投票率,(％),,,55.16,55.16

,,投票者数,,,,169801,169801
,,無効票＋他,,,,4517,4517
,,有効票,,,,165284,165284

当,重複,岸本周平,国民,前,65歳,103676,103676
,,得票率,(％),,,62.73,62.73
,重複,門博文,自民,前,56歳,61608,61608
,,得票率,(％),,,37.27,37.27


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,和歌山２区
,,開票所名,,,,計,海南市,橋本市,有田市,紀の川市,岩出市,紀美野町,かつらぎ町,九度山町,高野町
,,有権者数,,,,242858,42649,52503,23260,51991,44631,7618,14066,3614,2526
,,投票率,(％),,,57.94,56.51,58.73,58.31,58.93,51.00,67.47,66.49,66.91,75.34

,,投票者数,,,,140714,24103,30837,13562,30639,22760,5140,9352,2418,1903
,,無効票＋他,,,,3260,522,650,450,681,551,91,201,44,70
,,有効票,,,,137454,23581,30187,13112,29958,22209,5049,9151,2374,1833

当,重複,石田真敏,自民,前,69歳,79365,15231,15412,8395,17331,12249,3441,4830,1501,975
,,得票率,(％),,,57.74,64.59,51.06,64.03,57.85,55.15,68.15,52.78,63.23,53.19
,重複,藤井幹雄,立民,新,60歳,35654,5077,9110,2468,8015,5726,948,3410,585,315
,,得票率,(％),,,25.94,21.53,30.18,18.82,26.75,25.78,18.78,37.26,24.64,17.18
,重複,所順子,維新,新,72歳,19735,2860,5066,1913,4103,3614,602,809,259,509
,,得票率,(％),,,14.36,12.13,16.78,14.59,13.70,16.27,11.92,8.84,10.91,27.77
,,遠西愛美,Ｎ党,新,37歳,2700,413,599,336,509,620,58,102,29,34
,,得票率,(％),,,1.96,1.75,1.98,2.56,1.70,2.79,1.15,1.11,1.22,1.85


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,和歌山３区
,,開票所名,,,,計,御坊市,田辺市,新宮市,湯浅町,広川町,有田川町,美浜町,日高町,由良町,印南町,みなべ町,日高川町,白浜町,上富田町,すさみ町,那智勝浦町,太地町,古座川町,北山村,串本町
,,有権者数,,,,250261,19256,61046,23761,9932,5793,21879,5941,6449,4838,6846,10303,8087,18054,12970,3358,12708,2666,2321,381,13672
,,投票率,(％),,,62.32,62.58,56.08,63.08,65.13,67.08,63.15,69.94,71.20,71.29,71.44,67.66,76.04,56.49,58.97,71.14,62.57,69.65,74.92,80.58,60.06

,,投票者数,,,,155954,12050,34237,14988,6469,3886,13816,4155,4592,3449,4891,6971,6149,10198,7648,2389,7951,1857,1739,307,8212
,,無効票＋他,,,,7649,657,1940,860,322,174,594,231,227,159,162,285,297,507,348,96,319,63,60,8,340
,,有効票,,,,148305,11393,32297,14128,6147,3712,13222,3924,4365,3290,4729,6686,5852,9691,7300,2293,7632,1794,1679,299,7872

当,,二階俊博,自民,前,82歳,102834,7993,21530,9629,4295,2683,9543,2669,2952,2488,3588,5067,4326,6258,4653,1624,5316,1468,1207,269,5276
,,得票率,(％),,,69.34,70.16,66.66,68.16,69.87,72.28,72.18,68.02,67.63,75.62,75.87,75.79,73.92,64.58,63.74,70.82,69.65,81.83,71.89,89.97,67.02
,,畑野良弘,共産,新,61歳,20692,1674,4630,1813,905,472,1639,508,627,278,450,708,673,1768,1359,296,1069,132,260,13,1418
,,得票率,(％),,,13.95,14.69,14.34,12.83,14.72,12.72,12.40,12.95,14.36,8.45,9.52,10.59,11.50,18.24,18.62,12.91,14.01,7.36,15.49,4.35,18.01
,,本間奈々,諸派,新,52歳,19034,1398,4716,1856,713,428,1468,614,639,365,540,752,718,1319,975,316,859,148,185,13,1012
,,得票率,(％),,,12.83,12.27,14.60,13.14,11.60,11.53,11.10,15.65,14.64,11.09,11.42,11.25,12.27,13.61,13.36,13.78,11.26,8.25,11.02,4.35,12.86
,,根来英樹,無,新,51歳,5745,328,1421,830,234,129,572,133,147,159,151,159,135,346,313,57,388,46,27,4,166
,,得票率,(％),,,3.87,2.88,4.40,5.87,3.81,3.48,4.33,3.39,3.37,4.83,3.19,2.38,2.31,3.57,4.29,2.49,5.08,2.56,1.61,1.34,2.11


