,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山形１区
,,開票所名,,,,計,山形市,上山市,天童市,山辺町,中山町
,,有権者数,,,,303982,205455,25667,51529,11864,9467
,,投票率,(％),,,61.59,60.49,65.59,62.04,66.23,66.48

,,投票者数,,,,187235,124279,16834,31970,7858,6294
,,無効票＋他,,,,2675,1862,213,415,108,77
,,有効票,,,,184560,122417,16621,31555,7750,6217

当,重複,遠藤利明,自民,前,71歳,110688,70812,10363,20743,4886,3884
,,得票率,(％),,,59.97,57.84,62.35,65.74,63.05,62.47
,重複,原田和広,立民,新,48歳,73872,51605,6258,10812,2864,2333
,,得票率,(％),,,40.03,42.16,37.65,34.26,36.95,37.53


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山形２区
,,開票所名,,,,計,米沢市,寒河江市,村山市,長井市,東根市,尾花沢市,南陽市,河北町,西川町,朝日町,大江町,大石田町,高畠町,川西町,小国町,白鷹町,飯豊町
,,有権者数,,,,313967,66772,33981,19836,22044,39587,13178,25987,15179,4382,5678,6682,5785,19105,12565,6199,11274,5733
,,投票率,(％),,,65.71,62.21,62.68,64.56,66.98,61.89,70.59,66.61,68.81,78.98,74.32,73.77,71.79,64.90,65.09,74.12,73.21,72.60

,,投票者数,,,,206323,41542,21299,12806,14765,24502,9303,17311,10444,3461,4220,4929,4153,12399,8178,4595,8254,4162
,,無効票＋他,,,,2589,603,264,121,295,304,124,197,111,33,51,73,54,137,69,51,75,27
,,有効票,,,,203734,40939,21035,12685,14470,24198,9179,17114,10333,3428,4169,4856,4099,12262,8109,4544,8179,4135

当,重複,鈴木憲和,自民,前,39歳,125992,24201,12795,8301,8757,16035,5840,10360,6587,2221,2906,2781,2677,7762,4980,2514,4848,2427
,,得票率,(％),,,61.84,59.11,60.83,65.44,60.52,66.27,63.62,60.54,63.75,64.79,69.70,57.27,65.31,63.30,61.41,55.33,59.27,58.69
,重複,加藤健一,国民,新,40歳,77742,16738,8240,4384,5713,8163,3339,6754,3746,1207,1263,2075,1422,4500,3129,2030,3331,1708
,,得票率,(％),,,38.16,40.89,39.17,34.56,39.48,33.73,36.38,39.46,36.25,35.21,30.30,42.73,34.69,36.70,38.59,44.67,40.73,41.31


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山形３区
,,開票所名,,,,計,鶴岡市,酒田市,新庄市,金山町,最上町,舟形町,真室川町,大蔵村,鮭川村,戸沢村,三川町,庄内町,遊佐町
,,有権者数,,,,287642,105173,86012,29184,4418,7004,4390,6291,2625,3491,3747,6119,17593,11595
,,投票率,(％),,,65.74,63.04,66.62,62.96,77.61,73.12,73.69,72.02,79.12,74.28,74.14,67.07,66.08,65.70

,,投票者数,,,,189089,66302,57301,18374,3429,5121,3235,4531,2077,2593,2778,4104,11626,7618
,,無効票＋他,,,,2111,634,748,204,54,77,41,33,26,24,34,39,110,87
,,有効票,,,,186978,65668,56553,18170,3375,5044,3194,4498,2051,2569,2744,4065,11516,7531

当,重複,加藤鮎子,自民,前,42歳,108558,44041,24559,11310,2507,3504,2267,2992,1460,1751,1944,2493,6213,3517
,,得票率,(％),,,58.06,67.07,43.43,62.25,74.28,69.47,70.98,66.52,71.18,68.16,70.85,61.33,53.95,46.70
,,阿部ひとみ,無,新,60歳,66320,15736,28852,5779,801,1323,843,1361,498,756,741,1264,4669,3697
,,得票率,(％),,,35.47,23.96,51.02,31.81,23.73,26.23,26.39,30.26,24.28,29.43,27.00,31.09,40.54,49.09
,,梅木威,共産,新,62歳,12100,5891,3142,1081,67,217,84,145,93,62,59,308,634,317
,,得票率,(％),,,6.47,8.97,5.56,5.95,1.99,4.30,2.63,3.22,4.53,2.41,2.15,7.58,5.51,4.21


