,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山梨１区
,,開票所名,,,,計,甲府市,韮崎市,南アルプス市,北杜市,甲斐市,中央市,市川三郷町,早川町,身延町,南部町,富士川町,昭和町
,,有権者数,,,,424441,154930,24309,59036,40285,62234,24494,13166,876,9867,6539,12540,16165
,,投票率,(％),,,59.49,55.60,63.57,59.38,68.05,57.43,59.54,64.41,74.89,68.96,71.54,64.89,57.98

,,投票者数,,,,252509,86136,15454,35053,27414,35740,14584,8480,656,6804,4678,8137,9373
,,無効票＋他,,,,4135,1528,186,528,401,558,257,150,12,158,71,113,173
,,有効票,,,,248374,84608,15268,34525,27013,35182,14327,8330,644,6646,4607,8024,9200

当,重複,中谷真一,自民,前,45歳,125325,42880,7468,18329,11139,18223,7245,4414,348,3988,2726,3966,4599
,,得票率,(％),,,50.46,50.68,48.91,53.09,41.24,51.80,50.57,52.99,54.04,60.01,59.17,49.43,49.99
,重複,中島克仁,立民,前,54歳,118223,39957,7577,15492,15386,16203,6797,3779,288,2589,1829,3936,4390
,,得票率,(％),,,47.60,47.23,49.63,44.87,56.96,46.05,47.44,45.37,44.72,38.96,39.70,49.05,47.72
,,辺見信介,Ｎ党,新,57歳,4826,1771,223,704,488,756,285,137,8,69,52,122,211
,,得票率,(％),,,1.94,2.09,1.46,2.04,1.81,2.15,1.99,1.64,1.24,1.04,1.13,1.52,2.29


,,2021年10月31日投票 衆院選   （2021年11月17日 NHKまとめ）
,,山梨２区
,,開票所名,,,,計,富士吉田市,都留市,山梨市,大月市,笛吹市,上野原市,甲州市,道志村,西桂町,忍野村,山中湖村,鳴沢村,富士河口湖町,小菅村,丹波山村
,,有権者数,,,,262259,40572,25163,29060,20382,57494,19760,26413,1440,3548,7859,4823,2665,21992,602,486
,,投票率,(％),,,62.31,63.85,64.59,61.28,66.89,55.52,65.09,63.68,71.67,71.22,62.48,70.27,69.08,61.91,87.71,78.81

,,投票者数,,,,163425,25906,16254,17807,13634,31918,12861,16820,1032,2527,4910,3389,1841,13615,528,383
,,無効票＋他,,,,2921,435,273,289,285,601,197,274,15,45,101,70,38,273,17,8
,,有効票,,,,160504,25471,15981,17518,13349,31317,12664,16546,1017,2482,4809,3319,1803,13342,511,375

当,重複,堀内詔子,自民,前,56歳,109036,19424,11513,10484,8917,19440,8664,10360,761,1878,3703,2492,1276,9407,421,296
,,得票率,(％),,,67.93,76.26,72.04,59.85,66.80,62.07,68.41,62.61,74.83,75.66,77.00,75.08,70.77,70.51,82.39,78.93
,重複,市来伴子,立民,新,44歳,44441,5296,3768,6268,3681,10179,3363,5550,229,558,931,707,451,3316,77,67
,,得票率,(％),,,27.69,20.79,23.58,35.78,27.58,32.50,26.56,33.54,22.52,22.48,19.36,21.30,25.01,24.85,15.07,17.87
,,大久保令子,共産,新,71歳,7027,751,700,766,751,1698,637,636,27,46,175,120,76,619,13,12
,,得票率,(％),,,4.38,2.95,4.38,4.37,5.63,5.42,5.03,3.84,2.65,1.85,3.64,3.62,4.22,4.64,2.54,3.20


